Eamonn Keogh,Eamonn J. Keogh,https://dblp.org/pid/k/EamonnJKeogh,0.96
Preeti Rao,Preeti Rao,https://dblp.org/pid/54/790,1.0
Toni Giorgino,Toni Giorgino,https://dblp.org/pid/93/6633,1.0
María de Maeztu,,,0
Yves Raimond,Yves Raimond,https://dblp.org/pid/83/5530,1.0
Neal Lathia,Neal Lathia,https://dblp.org/pid/25/499,1.0
Michael Ekstrand,Michael D. Ekstrand,https://dblp.org/pid/69/7949,0.968421052631579
Hannah Bast,Hannah Bast,https://dblp.org/pid/b/HannahBast,1.0
Laxmidhar Behera,Laxmidhar Behera,https://dblp.org/pid/14/1412,1.0
Andrew Ng,Andrew Y. Ng,https://dblp.org/pid/n/AndrewYNg,0.95
Anita Hillhouse,,,0
Anita Hillhouse,,,0
Hannah Bast,Hannah Bast,https://dblp.org/pid/b/HannahBast,1.0
Hadoop Administrators,,,0
Jure Leskovec,Jure Leskovec,https://dblp.org/pid/l/JureLeskovec,1.0
Muhammad Farhan,Muhammad Farhan,https://dblp.org/pid/62/10825,1.0
Muhammad Ramdani,,,0
Tim Hussein,Tim Hussein,https://dblp.org/pid/70/3558,1.0
Benedikt Loepp,Benedikt Loepp,https://dblp.org/pid/136/6266,1.0
Evan Chan,Evan Chan,https://dblp.org/pid/234/2797,1.0
Cassandra Day Seattle,,,0
"Eduardo Encalada
aeencalada",,,0
Ashok Pillar,,,0
Anita Hillhouse,,,0
Essbase,,,0
Jürgen Dunkel,Jürgen Dunkel,https://dblp.org/pid/67/5088,1.0
Semi Structured,,,0
Unstructured Structured,,,0
Hannah Bast,Hannah Bast,https://dblp.org/pid/b/HannahBast,1.0
Liang Zhang,Liang Zhang,https://dblp.org/pid/50/6759,1.0
Hector Garcia-Molina,Hector Garcia-Molina,https://dblp.org/pid/g/HGarciaMolina,1.0
Dan Jurafsky,Daniel Jurafsky,https://dblp.org/pid/31/985,0.9533333333333333
Chris Manning,Chris Manning,https://dblp.org/pid/92/6228,1.0
Antoine Chambille,,,0
Mando,Mandong Hu,https://dblp.org/pid/221/5922,0.8999999999999999
Deepak Agarwal,Deepak Agarwal,https://dblp.org/pid/11/5430,1.0
Maria Georgiou,Maria Georgiou,https://dblp.org/pid/225/1165,1.0
Kalman Toth,Kalman C. Toth,https://dblp.org/pid/67/6707,0.9571428571428571
Gaurav Nadkar,,,0
Grant Ingersoll,Grant Ingersoll,https://dblp.org/pid/27/3996,1.0
Fabio Crestani,Fabio Crestani,https://dblp.org/pid/c/FabioCrestani,1.0
Giomar Antonio Giraldo,,,0
Antonio Giraldo Huertas,,,0
Oliver Gindele,,,0
Steve Tjoa,Steven K. Tjoa,https://dblp.org/pid/52/717,0.9428571428571428
Muhammad Efendi,,,0
Mohamad Ridwan Sidik,,,0
"Eduardo Castro
http",,,0
Marcel Kurovski,,,0
Bart P. Knijnenburg,Bart P. Knijnenburg,https://dblp.org/pid/17/7457,1.0
Katja Niemann,Katja Niemann,https://dblp.org/pid/37/1914,1.0
Nicolas Schilling,Nicolas Schilling,https://dblp.org/pid/151/3315,1.0
Luke Han,Hans Diete Lüke,https://dblp.org/pid/26/10925,0.5194444444444444
Sean Riley,Sean Riley,https://dblp.org/pid/176/4493,1.0
Brady Haran,,,0
Tom Coffing,,,0
"LAINEZ DANNY
JENIFFER",,,0
"DANNY
JENIFFER ARENAS",,,0
Cohen,A. Cohen,https://dblp.org/pid/94/6760,0.875
Emilia Gómez,Emilia Gómez,https://dblp.org/pid/96/74,1.0
Musique,,,0
Supervision,,,0
Laurent,Laurent Alt,https://dblp.org/pid/79/6425,0.9272727272727272
Jonathan,Jonathan Ailon,https://dblp.org/pid/196/2639,0.9142857142857141
Misa Inmaculada Concepcion,,,0
Concepcion - Alejandro Consolacion,,,0
Justin Pontino,,,0
Andrew Ng,Andrew Y. Ng,https://dblp.org/pid/n/AndrewYNg,0.95
Giovanna Roda,Giovanna Roda,https://dblp.org/pid/70/7536,1.0
Collin Burton,,,0
"Eduardo Encalada
aeencalada",,,0
"PATERNINA
LEONARDO SUAREZ",,,0
JAIME GRACIA GONZALES,,,0
"BALDOVINO
JAIME GRACIA",,,0
Guillaume Allain,,,0
Gary M. Olson,Gary M. Olson,https://dblp.org/pid/o/GaryMOlson,1.0
Joseph A. Konstan,Joseph A. Konstan,https://dblp.org/pid/09/3004,1.0
Judy Olson,Judy Olson,https://dblp.org/pid/61/911,1.0
Sandeep Patil,Sandeep Patil,https://dblp.org/pid/53/5535,1.0
Xiang Li,Xiangxue Li,https://dblp.org/pid/69/3527,0.9454545454545455
Jie He,Jie He,https://dblp.org/pid/28/4019,1.0
Muhammad Firmansyah,Muhammad Firmansyah,https://dblp.org/pid/34/10155,1.0
Pieter van Boxtel,,,0
Evangelos Kanoulas,Evangelos Kanoulas,https://dblp.org/pid/22/3088,1.0
Mando,Mandong Hu,https://dblp.org/pid/221/5922,0.8999999999999999
Nick Pentreath,,,0
Hannah Bast,Hannah Bast,https://dblp.org/pid/b/HannahBast,1.0
Mike van der Velden,,,0
Evan Chan,Evan Chan,https://dblp.org/pid/234/2797,1.0
Joaquin A. Delgado,Joaquin A. Delgado,https://dblp.org/pid/205/0111,1.0
